Place,Team,Played,Won,Lost,Drawn,For,Against,Difference,Bonus,Points
1,Exeter Chiefs,14,9,4,0,390,230,160,9,45
2,Sale,14,8,5,0,334,190,144,8,40
3,Bristol,14,8,4,1,289,264,25,4,38
4,Northampton Saints,14,7,6,0,303,311,-8,7,35
5,Wasps,14,6,7,0,339,328,11,9,33
6,Bath,14,7,6,0,241,293,-52,2,30
7,Harlequins,14,5,7,1,285,337,-52,6,28
8,London Irish,14,5,7,1,255,350,-95,6,28
9,Gloucester,14,4,9,0,268,282,-14,10,26
10,Worcester Warriors,14,4,9,0,202,301,-99,6,22
11,Leicester Tigers,14,4,8,1,207,302,-95,2,20
12,Saracens,14,9,4,0,338,263,75,6,-63
